Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
30720869,218095,709,Canada,Both sexes,20+
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Females,20-34
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Females,20-34
105846,40,37,Nova Scotia,Males,20-34
205854,95,46,Nova Scotia,Both sexes,20-34
74974,35,46,New Brunswick,Males,20-34
1616324,775,47,Quebec,Both sexes,20-34
837542,400,47,Quebec,Males,20-34
778782,380,48,Quebec,Females,20-34
144651,80,55,New Brunswick,Both sexes,20-34
100008,60,59,Nova Scotia,Females,20-34
572533,360,62,British Columbia,Males,20-34
69677,45,64,New Brunswick,Females,20-34
37287,25,67,Prince Edward Island,Both sexes,20-34
1117061,750,67,British Columbia,Both sexes,20-34
544528,390,71,British Columbia,Females,20-34
158077,120,75,Manitoba,Males,20-34
303910,240,78,Manitoba,Both sexes,20-34
145833,120,82,Manitoba,Females,20-34
121721,105,86,Saskatchewan,Males,20-34
234864,210,89,Saskatchewan,Both sexes,20-34
113143,105,92,Saskatchewan,Females,20-34
19990,20,100,Prince Edward Island,Males,20-34
484165,505,104,Alberta,Males,20-34
942720,1030,109,Alberta,Both sexes,20-34
458555,525,114,Alberta,Females,20-34
1698861,2035,119,Ontario,Males,20-34
3286960,4115,125,Ontario,Both sexes,20-34
1588099,2080,130,Ontario,Females,20-34
871674,2265,259,Quebec,Males,35-49
1712345,5180,302,Quebec,Both sexes,35-49
840671,2915,346,Quebec,Females,35-49
74622,280,375,New Brunswick,Males,35-49
525847,2005,381,British Columbia,Males,35-49
3855,15,389,Nunavut,Males,35-49
509770,2070,406,Alberta,Males,35-49
1061289,4455,419,British Columbia,Both sexes,35-49
149528,630,421,New Brunswick,Both sexes,35-49
122606,520,424,Saskatchewan,Males,35-49
14747,65,440,Prince Edward Island,Males,35-49
137066,610,445,Manitoba,Males,35-49
241211,1095,453,Saskatchewan,Both sexes,35-49
1009223,4580,453,Alberta,Both sexes,35-49
535442,2460,459,British Columbia,Females,35-49
74906,355,473,New Brunswick,Females,35-49
30215,145,479,Prince Edward Island,Both sexes,35-49
118605,570,480,Saskatchewan,Females,35-49
15468,75,484,Prince Edward Island,Females,35-49
272754,1355,496,Manitoba,Both sexes,35-49
499453,2510,502,Alberta,Females,35-49
88904,470,528,Nova Scotia,Males,35-49
7476,40,535,Nunavut,Both sexes,35-49
183851,1010,549,Nova Scotia,Both sexes,35-49
135688,745,549,Manitoba,Females,35-49
94947,540,568,Nova Scotia,Females,35-49
1434932,8790,612,Ontario,Males,35-49
2915952,19580,671,Ontario,Both sexes,35-49
