Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
30720869,61370,199,Canada,Both sexes,20+
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Both sexes,20-34
0,0,0,Prince Edward Island,Males,20-34
0,0,0,Prince Edward Island,Females,20-34
0,0,0,Prince Edward Island,Females,35-49
0,0,0,Nova Scotia,Both sexes,20-34
0,0,0,Nova Scotia,Males,20-34
0,0,0,Nova Scotia,Females,20-34
0,0,0,New Brunswick,Females,20-34
0,0,0,Manitoba,Both sexes,20-34
0,0,0,Manitoba,Males,20-34
0,0,0,Manitoba,Females,20-34
0,0,0,Saskatchewan,Females,20-34
0,0,0,Alberta,Females,20-34
0,0,0,British Columbia,Females,20-34
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Both sexes,35-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,20-34
