Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
30720869,35540,115,Canada,Both sexes,20+
0,0,0,Newfoundland and Labrador,Both sexes,20-34
0,0,0,Newfoundland and Labrador,Both sexes,35-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,20-34
0,0,0,Newfoundland and Labrador,Males,35-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,20-34
0,0,0,Newfoundland and Labrador,Females,35-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Males,20-34
0,0,0,Prince Edward Island,Males,65-79
0,0,0,Quebec,Both sexes,20-34
0,0,0,Quebec,Both sexes,35-49
0,0,0,Quebec,Both sexes,50-64
0,0,0,Quebec,Both sexes,65-79
0,0,0,Quebec,Males,20-34
0,0,0,Quebec,Males,35-49
0,0,0,Quebec,Males,50-64
0,0,0,Quebec,Males,65-79
0,0,0,Quebec,Females,20-34
0,0,0,Quebec,Females,35-49
0,0,0,Quebec,Females,50-64
0,0,0,Quebec,Females,65-79
0,0,0,Yukon Territory,Both sexes,20-34
0,0,0,Yukon Territory,Both sexes,35-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,20-34
0,0,0,Yukon Territory,Males,35-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,20-34
0,0,0,Yukon Territory,Females,35-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,20-34
0,0,0,Nunavut,Both sexes,35-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,20-34
0,0,0,Nunavut,Males,35-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,20-34
0,0,0,Nunavut,Females,35-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
158077,30,18,Manitoba,Males,20-34
572533,125,21,British Columbia,Males,20-34
121721,30,24,Saskatchewan,Males,20-34
105846,30,28,Nova Scotia,Males,20-34
1698861,500,29,Ontario,Males,20-34
484165,155,32,Alberta,Males,20-34
74974,25,33,New Brunswick,Males,20-34
1117061,480,42,British Columbia,Both sexes,20-34
303910,165,54,Manitoba,Both sexes,20-34
