Population,Count,"Rate (per 100,000)",Province,Sex,Age Group
19995097,60055,300,Canada,Both sexes,40+
0,0,0,Newfoundland and Labrador,Both sexes,40-49
0,0,0,Newfoundland and Labrador,Both sexes,50-64
0,0,0,Newfoundland and Labrador,Both sexes,65-79
0,0,0,Newfoundland and Labrador,Males,40-49
0,0,0,Newfoundland and Labrador,Males,50-64
0,0,0,Newfoundland and Labrador,Males,65-79
0,0,0,Newfoundland and Labrador,Females,40-49
0,0,0,Newfoundland and Labrador,Females,50-64
0,0,0,Newfoundland and Labrador,Females,65-79
0,0,0,Prince Edward Island,Both sexes,40-49
0,0,0,Prince Edward Island,Males,40-49
0,0,0,Prince Edward Island,Females,40-49
0,0,0,New Brunswick,Females,40-49
0,0,0,Yukon Territory,Both sexes,40-49
0,0,0,Yukon Territory,Both sexes,50-64
0,0,0,Yukon Territory,Both sexes,65-79
0,0,0,Yukon Territory,Males,40-49
0,0,0,Yukon Territory,Males,50-64
0,0,0,Yukon Territory,Males,65-79
0,0,0,Yukon Territory,Females,40-49
0,0,0,Yukon Territory,Females,50-64
0,0,0,Yukon Territory,Females,65-79
0,0,0,Nunavut,Both sexes,40-49
0,0,0,Nunavut,Both sexes,50-64
0,0,0,Nunavut,Both sexes,65-79
0,0,0,Nunavut,Males,40-49
0,0,0,Nunavut,Males,50-64
0,0,0,Nunavut,Males,65-79
0,0,0,Nunavut,Females,40-49
0,0,0,Nunavut,Females,50-64
0,0,0,Nunavut,Females,65-79
317162,35,11,Alberta,Females,40-49
639332,100,15,Alberta,Both sexes,40-49
57534,10,17,Nova Scotia,Males,40-49
86086,15,17,Manitoba,Females,40-49
342784,60,17,British Columbia,Females,40-49
120117,25,20,Nova Scotia,Both sexes,40-49
73936,15,20,Saskatchewan,Females,40-49
322170,65,20,Alberta,Males,40-49
562562,120,21,Quebec,Females,40-49
62583,15,23,Nova Scotia,Females,40-49
1145776,265,23,Quebec,Both sexes,40-49
173838,40,23,Manitoba,Both sexes,40-49
150823,35,23,Saskatchewan,Both sexes,40-49
673056,155,23,British Columbia,Both sexes,40-49
100566,25,24,New Brunswick,Both sexes,40-49
962038,235,24,Ontario,Females,40-49
583214,150,25,Quebec,Males,40-49
76887,20,26,Saskatchewan,Males,40-49
87752,25,28,Manitoba,Males,40-49
330272,95,28,British Columbia,Males,40-49
50194,15,29,New Brunswick,Males,40-49
1873721,595,31,Ontario,Both sexes,40-49
911683,355,38,Ontario,Males,40-49
408895,265,64,Alberta,Females,50-64
89372,60,67,New Brunswick,Females,50-64
555157,425,76,British Columbia,Females,50-64
821334,680,82,Alberta,Both sexes,50-64
111467,95,85,Nova Scotia,Females,50-64
17434,15,86,Prince Edward Island,Females,50-64
104544,95,90,Saskatchewan,Females,50-64
879778,805,91,Quebec,Females,50-64
177753,170,95,New Brunswick,Both sexes,50-64
1519951,1480,97,Ontario,Females,50-64
412439,405,98,Alberta,Males,50-64
126891,130,102,Manitoba,Females,50-64
1077882,1135,105,British Columbia,Both sexes,50-64
1765123,1890,107,Quebec,Both sexes,50-64
217500,235,108,Nova Scotia,Both sexes,50-64
33975,40,117,Prince Edward Island,Both sexes,50-64
2994865,3505,117,Ontario,Both sexes,50-64
211770,250,118,Saskatchewan,Both sexes,50-64
16541,20,120,Prince Edward Island,Males,50-64
885345,1080,121,Quebec,Males,50-64
88381,110,124,New Brunswick,Males,50-64
250984,315,125,Manitoba,Both sexes,50-64
106033,140,132,Nova Scotia,Males,50-64
522725,710,135,British Columbia,Males,50-64
1474914,2025,137,Ontario,Males,50-64
107226,155,144,Saskatchewan,Males,50-64
124093,185,149,Manitoba,Males,50-64
73991,215,290,New Brunswick,Females,65-79
270601,840,310,Alberta,Females,65-79
90425,310,342,Nova Scotia,Females,65-79
423679,1475,348,British Columbia,Females,65-79
142834,530,371,New Brunswick,Both sexes,65-79
705600,2820,399,Quebec,Females,65-79
524222,2145,409,Alberta,Both sexes,65-79
172737,725,419,Nova Scotia,Both sexes,65-79
12884,55,426,Prince Edward Island,Males,65-79
809808,3605,445,British Columbia,Both sexes,65-79
1370506,6210,453,Quebec,Both sexes,65-79
68843,320,464,New Brunswick,Males,65-79
1102100,5225,474,Ontario,Females,65-79
92148,460,499,Manitoba,Females,65-79
82312,415,504,Nova Scotia,Males,65-79
664906,3385,509,Quebec,Males,65-79
253621,1310,516,Alberta,Males,65-79
26985,140,518,Prince Edward Island,Both sexes,65-79
77535,415,535,Saskatchewan,Females,65-79
386129,2130,551,British Columbia,Males,65-79
14101,80,567,Prince Edward Island,Females,65-79
2081884,11940,573,Ontario,Both sexes,65-79
177617,1100,619,Manitoba,Both sexes,65-79
152565,1015,665,Saskatchewan,Both sexes,65-79
979784,6720,685,Ontario,Males,65-79
85469,645,754,Manitoba,Males,65-79
75030,605,806,Saskatchewan,Males,65-79
